Amelia,User
{#Data.Amelia_SpanishWelcomeMessage},
{#Data.Amelia_SpanishWelcomeMessage_second},{#Data.Amelia_Epic_AR_ES_Command_VodafoneBusinessApplication}
~.*(correo electrónico|dirección).*,{#Data.Amelia_Epic_AR_ES_SP}
~.*(aplicación|instalada|¿donde).*,
~.*(elija|siguientes|opciones).*,Amelia_Button_AR_ES_Local
~.*((?=.*1-Necesito acceso)|(?=.*error)|(?=.*restablecer contraseña)|(?=.*4-Mi aplicación no arranca.)|(?=.*5-Otras.)|(?=.*problema)).*,Amelia_Button_AR_ES_OptionFive
~.*(escalar|chat|fuera|horario|laboral).*,
"~.*(número|contacto|facilitarme,).*",1066608126
~.*(experiencia|agente|contacte|horario|mejor).*,Amelia_Button_C_ES_12PM
~.*(datos|contacten|horario|laboral|agentes).*,
incident_id,
{#Data.Amelia_SpanishClosingMessage},
{#Data.Amelia_SpanishClosingMessage_second},
