Amelia,User
{#Data.Amelia_SpanishWelcomeMessage},
{#Data.Amelia_SpanishWelcomeMessage_second},{#Data.Amelia_Epic_AR_ES_Command_VodafoneBusinessApplication}
~.*(correo electrónico|dirección).*,{#Data.Amelia_Epic_AR_ES_SP}
~.*(aplicación|instalada|¿donde).*,
~.*(elija|siguientes|opciones).*,Amelia_Button_AR_ES_Local
~.*((?=.*1-Necesito acceso)|(?=.*error)|(?=.*restablecer contraseña)|(?=.*4-Mi aplicación no arranca.)|(?=.*5-Otras.)|(?=.*problema)).*,Amelia_Button_AR_ES_OptionTwo
~.*(nombre|aplicación|afectada).*,AMDOCS
~.*(elige|aplicación|afectada).*,otra aplicación
~.*(introducir|aplicación|nombre|volver).*,Amelia_Button_AR_ES_NO
~.*(la espera|contacto|agente|ayudarte|minutos).*,
